Name,type,District,person name,designation,Contact details
Woodbridge,Township,District-19,John E McCormac,Mayor,"Municipal Building 1 Main Street Woodbridge , NJ 07095 Email:wbmayor@twp.woodbridge.nj.us, Phone: 732-602-6015"
Woodbridge,Township,District-19,Kyle Anderson,Councilman-at-Large,kyle.anderson@twp.woodbridge.nj.us
Woodbridge,Township,District-19,Lizbeth DeJesus,Councilwoman-at-Large,lizbeth.dejesus@twp.woodbridge.nj.us
Woodbridge,Township,District-19,Gregg M. Ficarra,Councilman-at-Large,gregg.ficarra@twp.woodbridge.nj.us
Woodbridge,Township,District-19,Brian Small,Councilman-at-Large,brian.small@twp.woodbridge.nj.us
Woodbridge,Township,District-19,Debbie Meehan,Fifth Ward Councilwoman,debbie.meehan@twp.woodbridge.nj.us
Woodbridge,Township,District-19,Cory Spillar,Third Ward Councilman,cory.spillar@twp.woodbridge.nj.us
Woodbridge,Township,District-19,Nancy Drumm,Council President & First Ward Councilwoman,nancy.drumm@twp.woodbridge.nj.us
Woodbridge,Township,District-19,Howie Bauer,Councilman - Second Ward,
Woodbridge,Township,District-19,Virbhadra N. Patel,Councilman-Fourth Ward,
